video_id,ts,tid,p_state,p_event,R,trigger
0,29054.842,1,0.000,0.000,0.000,0
0,29054.878,1,0.000,0.000,0.000,0
0,29054.910,1,0.000,0.000,0.000,0
0,29054.910,2,0.000,0.000,0.000,0
0,29054.942,1,0.000,0.000,0.000,0
0,29054.942,2,0.000,0.000,0.000,0
0,29054.942,3,0.000,0.000,0.000,0
0,29054.942,4,0.000,0.000,0.000,0
0,29054.978,1,0.000,0.000,0.000,0
0,29054.978,2,0.000,0.000,0.000,0
0,29054.978,3,0.000,0.000,0.000,0
0,29054.978,4,0.000,0.000,0.000,0
0,29055.642,2,0.000,0.000,0.000,0
0,29055.774,2,0.000,0.000,0.000,0
0,29055.774,1,0.000,0.000,0.000,0
0,29055.874,2,0.000,0.000,0.000,0
0,29055.874,1,0.000,0.000,0.000,0
0,29055.974,2,0.000,0.000,0.000,0
0,29055.974,1,0.000,0.000,0.000,0
0,29056.042,1,0.000,0.000,0.000,0
0,29056.106,1,0.000,0.000,0.000,0
0,29056.206,1,0.000,0.000,0.000,0
0,29056.306,1,0.000,0.000,0.000,0
0,29056.474,1,0.000,0.000,0.000,0
0,29056.674,1,0.000,0.000,0.000,0
0,29056.838,1,0.000,0.000,0.000,0
0,29057.038,1,0.000,0.000,0.000,0
0,29057.170,1,0.000,0.000,0.000,0
0,29057.270,1,0.000,0.000,0.000,0
0,29057.370,1,0.000,0.000,0.000,0
0,29057.438,1,0.000,0.000,0.000,0
0,29057.538,1,0.000,0.000,0.000,0
0,29057.638,1,0.000,0.000,0.000,0
0,29057.702,1,0.000,0.000,0.000,0
0,29057.802,1,0.000,0.000,0.000,0
0,29057.870,1,0.000,0.000,0.000,0
0,29057.938,1,0.000,0.000,0.000,0
0,29058.034,1,0.000,0.000,0.000,0
0,29058.102,1,0.000,0.000,0.000,0
0,29058.170,1,0.000,0.000,0.000,0
0,29058.270,1,0.000,0.000,0.000,0
0,29058.370,1,0.000,0.000,0.000,0
0,29058.434,1,0.000,0.000,0.000,0
0,29058.534,1,0.000,0.000,0.000,0
0,29058.602,1,0.000,0.000,0.000,0
0,29058.666,1,0.000,0.000,0.000,0
0,29058.766,1,0.000,0.000,0.000,0
0,29058.834,1,0.000,0.000,0.000,0
0,29058.902,1,0.000,0.000,0.000,0
0,29059.002,1,0.000,0.000,0.000,0
0,29059.066,1,0.000,0.000,0.000,0
0,29059.134,1,0.000,0.000,0.000,0
0,29059.234,1,0.000,0.000,0.000,0
0,29059.334,1,0.000,0.000,0.000,0
0,29059.334,5,0.000,0.000,0.000,0
0,29059.434,1,0.000,0.000,0.000,0
0,29059.434,5,0.000,0.000,0.000,0
0,29059.534,1,0.000,0.000,0.000,0
0,29059.534,5,0.000,0.000,0.000,0
0,29059.634,1,0.000,0.000,0.000,0
0,29059.634,5,0.000,0.000,0.000,0
0,29059.730,1,0.000,0.000,0.000,0
0,29059.730,5,0.000,0.000,0.000,0
0,29059.866,1,0.000,0.000,0.000,0
0,29059.866,5,0.000,0.000,0.000,0
0,29059.966,1,0.000,0.000,0.000,0
0,29059.966,5,0.000,0.000,0.000,0
0,29060.066,1,0.000,0.000,0.000,0
0,29060.066,5,0.000,0.000,0.000,0
0,29060.166,1,0.000,0.000,0.000,0
0,29060.166,5,0.000,0.000,0.000,0
0,29060.266,1,0.000,0.000,0.000,0
0,29060.266,5,0.000,0.000,0.000,0
0,29060.362,1,0.000,0.000,0.000,0
0,29060.362,5,0.000,0.000,0.000,0
0,29060.430,1,0.000,0.000,0.000,0
0,29060.430,5,0.000,0.000,0.000,0
0,29060.498,1,0.000,0.000,0.000,0
0,29060.498,5,0.000,0.000,0.000,0
0,29060.598,1,0.000,0.000,0.000,0
0,29060.598,5,0.000,0.000,0.000,0
0,29060.662,1,0.000,0.000,0.000,0
0,29060.662,5,0.000,0.000,0.000,0
0,29060.730,1,0.000,0.000,0.000,0
0,29060.730,5,0.000,0.000,0.000,0
0,29060.830,1,0.000,0.000,0.000,0
0,29060.830,5,0.000,0.000,0.000,0
0,29060.894,1,0.000,0.000,0.000,0
0,29060.894,5,0.000,0.000,0.000,0
0,29060.994,1,0.000,0.000,0.000,0
0,29060.994,5,0.000,0.000,0.000,0
0,29061.062,1,0.000,0.000,0.000,0
0,29061.062,5,0.000,0.000,0.000,0
0,29061.162,1,0.000,0.000,0.000,0
0,29061.162,5,0.000,0.000,0.000,0
0,29061.230,1,0.000,0.000,0.000,0
0,29061.230,5,0.000,0.000,0.000,0
0,29061.330,1,0.000,0.000,0.000,0
0,29061.330,5,0.000,0.000,0.000,0
0,29061.394,1,0.000,0.000,0.000,0
0,29061.394,5,0.000,0.000,0.000,0
0,29061.462,1,0.000,0.000,0.000,0
0,29061.462,5,0.000,0.000,0.000,0
0,29061.562,1,0.000,0.000,0.000,0
0,29061.562,5,0.000,0.000,0.000,0
0,29061.626,1,0.000,0.000,0.000,0
0,29061.626,5,0.000,0.000,0.000,0
0,29061.694,1,0.000,0.000,0.000,0
0,29061.694,5,0.000,0.000,0.000,0
0,29061.762,1,0.000,0.000,0.000,0
0,29061.762,5,0.000,0.000,0.000,0
0,29061.894,1,0.000,0.000,0.000,0
0,29061.894,5,0.000,0.000,0.000,0
0,29061.962,1,0.000,0.000,0.000,0
0,29061.962,5,0.000,0.000,0.000,0
0,29062.026,1,0.000,0.000,0.000,0
0,29062.026,5,0.000,0.000,0.000,0
0,29062.094,1,0.000,0.000,0.000,0
0,29062.094,5,0.000,0.000,0.000,0
0,29062.194,1,0.000,0.000,0.000,0
0,29062.194,5,0.000,0.000,0.000,0
0,29062.258,1,0.000,0.000,0.000,0
0,29062.258,5,0.000,0.000,0.000,0
0,29062.358,1,0.000,0.000,0.000,0
0,29062.358,5,0.000,0.000,0.000,0
0,29062.458,1,0.000,0.000,0.000,0
0,29062.458,5,0.000,0.000,0.000,0
0,29062.558,1,0.000,0.000,0.000,0
0,29062.558,5,0.000,0.000,0.000,0
0,29062.658,1,0.000,0.000,0.000,0
0,29062.658,5,0.000,0.000,0.000,0
0,29062.790,1,0.000,0.000,0.000,0
0,29062.790,5,0.000,0.000,0.000,0
0,29062.926,1,0.000,0.000,0.000,0
0,29062.926,5,0.000,0.000,0.000,0
0,29063.026,1,0.000,0.000,0.000,0
0,29063.026,5,0.000,0.000,0.000,0
0,29063.122,1,0.000,0.000,0.000,0
0,29063.122,5,0.000,0.000,0.000,0
0,29063.222,5,0.000,0.000,0.000,0
0,29063.322,5,0.000,0.000,0.000,0
0,29063.322,1,0.000,0.000,0.000,0
0,29063.458,5,0.000,0.000,0.000,0
0,29063.458,1,0.000,0.000,0.000,0
0,29063.522,5,0.000,0.000,0.000,0
0,29063.522,1,0.000,0.000,0.000,0
0,29063.590,5,0.000,0.000,0.000,0
0,29063.590,1,0.000,0.000,0.000,0
0,29063.690,5,0.000,0.000,0.000,0
0,29063.690,1,0.000,0.000,0.000,0
0,29063.790,5,0.000,0.000,0.000,0
0,29063.790,1,0.000,0.000,0.000,0
0,29063.854,5,0.000,0.000,0.000,0
0,29063.854,1,0.000,0.000,0.000,0
0,29063.954,5,0.000,0.000,0.000,0
0,29063.954,1,0.000,0.000,0.000,0
0,29064.054,5,0.000,0.000,0.000,0
0,29064.054,1,0.000,0.000,0.000,0
0,29064.122,5,0.000,0.000,0.000,0
0,29064.122,1,0.000,0.000,0.000,0
0,29064.190,5,0.000,0.000,0.000,0
0,29064.190,1,0.000,0.000,0.000,0
0,29064.286,5,0.000,0.000,0.000,0
0,29064.286,1,0.000,0.000,0.000,0
0,29064.386,5,0.000,0.000,0.000,0
0,29064.386,1,0.000,0.000,0.000,0
0,29064.454,5,0.000,0.000,0.000,0
0,29064.454,1,0.000,0.000,0.000,0
0,29064.554,5,0.000,0.000,0.000,0
0,29064.554,1,0.000,0.000,0.000,0
0,29064.622,5,0.000,0.000,0.000,0
0,29064.622,1,0.000,0.000,0.000,0
0,29064.686,5,0.000,0.000,0.000,0
0,29064.686,1,0.000,0.000,0.000,0
0,29064.786,5,0.000,0.000,0.000,0
0,29064.786,1,0.000,0.000,0.000,0
0,29064.886,5,0.000,0.000,0.000,0
0,29064.886,1,0.000,0.000,0.000,0
0,29064.954,5,0.000,0.000,0.000,0
0,29064.954,1,0.000,0.000,0.000,0
0,29065.054,5,0.000,0.000,0.000,0
0,29065.054,1,0.000,0.000,0.000,0
0,29065.118,5,0.000,0.000,0.000,0
0,29065.118,1,0.000,0.000,0.000,0
0,29065.218,5,0.000,0.000,0.000,0
0,29065.218,1,0.000,0.000,0.000,0
0,29065.318,5,0.000,0.000,0.000,0
0,29065.318,1,0.000,0.000,0.000,0
0,29065.418,5,0.000,0.000,0.000,0
0,29065.418,1,0.000,0.000,0.000,0
0,29065.518,5,0.000,0.000,0.000,0
0,29065.650,5,0.000,0.000,0.000,0
0,29065.718,5,0.000,0.000,0.000,0
0,29065.818,5,0.000,0.000,0.000,0
0,29065.918,5,0.000,0.000,0.000,0
0,29066.018,5,0.000,0.000,0.000,0
0,29066.118,5,0.000,0.000,0.000,0
0,29066.118,1,0.000,0.000,0.000,0
0,29066.218,5,0.000,0.000,0.000,0
0,29066.218,1,0.000,0.000,0.000,0
0,29066.318,5,0.000,0.000,0.000,0
0,29066.382,5,0.000,0.000,0.000,0
0,29066.450,5,0.000,0.000,0.000,0
0,29066.550,5,0.000,0.000,0.000,0
0,29066.614,5,0.000,0.000,0.000,0
0,29066.682,5,0.000,0.000,0.000,0
0,29066.682,1,0.000,0.000,0.000,0
0,29066.782,5,0.000,0.000,0.000,0
0,29066.782,1,0.000,0.000,0.000,0
0,29066.850,5,0.000,0.000,0.000,0
0,29066.850,1,0.000,0.000,0.000,0
0,29066.914,5,0.000,0.000,0.000,0
0,29066.914,1,0.000,0.000,0.000,0
0,29066.982,5,0.000,0.000,0.000,0
0,29067.146,5,0.000,0.000,0.000,0
0,29067.214,5,0.000,0.000,0.000,0
0,29067.314,5,0.000,0.000,0.000,0
0,29067.382,5,0.000,0.000,0.000,0
0,29067.446,5,0.000,0.000,0.000,0
0,29067.546,5,0.000,0.000,0.000,0
0,29067.614,5,0.000,0.000,0.000,0
0,29067.678,5,0.000,0.000,0.000,0
0,29067.778,5,0.000,0.000,0.000,0
0,29067.846,5,0.000,0.000,0.000,0
0,29067.914,5,0.000,0.000,0.000,0
0,29067.914,1,0.000,0.000,0.000,0
0,29068.014,5,0.000,0.000,0.000,0
0,29068.014,1,0.000,0.000,0.000,0
